loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
7.7047,0.31479713320732117,0.00016949152542372882,0.07662835249042145,50,,,,,,,,,
0.1813,0.22767074406147003,0.0001997695716334326,0.1532567049808429,100,,,,,,,,,
0.134,0.1587914377450943,0.00019886656725189575,0.22988505747126436,150,,,,,,,,,
0.1215,0.15289545059204102,0.00019728606741412113,0.3065134099616858,200,,,,,,,,,
0.1141,0.18118725717067719,0.00019503890269194344,0.3831417624521073,250,,,,,,,,,
0.111,0.14280909299850464,0.00019214047206128564,0.45977011494252873,300,,,,,,,,,
0.1075,0.12440197169780731,0.00018861063737875982,0.5363984674329502,350,,,,,,,,,
0.1075,0.12251566350460052,0.00018447358727582313,0.6130268199233716,400,,,,,,,,,
0.1041,0.12059397995471954,0.00017975767140317013,0.6896551724137931,450,,,,,,,,,
0.1027,0.12507975101470947,0.00017449520616122344,0.7662835249042146,500,,,,,,,,,
0.1011,0.11894971877336502,0.00016872225324797793,0.842911877394636,550,,,,,,,,,
0.1023,0.0944308266043663,0.00016247837254172734,0.9195402298850575,600,,,,,,,,,
0.0989,0.11819559335708618,0.00015580635101207474,0.9961685823754789,650,,,,,,,,,
,,,0.9992337164750957,652,0.0970953032374382,116.9229,9.921,2.48,,,,,
0.0954,0.09820955246686935,0.00014875190951689872,1.0727969348659003,700,,,,,,,,,
0.093,0.10632676631212234,0.00014136338949448447,1.1494252873563218,750,,,,,,,,,
0.0926,0.10350499302148819,0.00013369142169780178,1.2260536398467432,800,,,,,,,,,
0.0926,0.11122937500476837,0.00012578857924096934,1.3026819923371646,850,,,,,,,,,
0.0943,0.09294944256544113,0.00011770901733544739,1.3793103448275863,900,,,,,,,,,
0.094,0.1006687730550766,0.00010950810218471124,1.4559386973180077,950,,,,,,,,,
0.0909,0.10318642854690552,0.00010124203158045183,1.5325670498084292,1000,,,,,,,,,
0.0935,0.10993193089962006,9.296744980021405e-05,1.6091954022988506,1050,,,,,,,,,
0.0913,0.10944665223360062,8.474105944543534e-05,1.685823754789272,1100,,,,,,,,,
0.0909,0.09445183724164963,7.661923287981282e-05,1.7624521072796935,1150,,,,,,,,,
0.0888,0.109023816883564,6.865762593066513e-05,1.839080459770115,1200,,,,,,,,,
0.089,0.11467186361551285,6.0910796500449354e-05,1.9157088122605364,1250,,,,,,,,,
0.0888,0.10313086211681366,5.343183070194463e-05,1.9923371647509578,1300,,,,,,,,,
,,,2.0,1305,0.08971250057220459,119.3019,9.723,2.431,,,,,
0.0841,0.10502509772777557,4.6271979079057714e-05,2.0689655172413794,1350,,,,,,,,,
0.0841,0.11872024834156036,3.9480305406092344e-05,2.1455938697318007,1400,,,,,,,,,
0.0833,0.11211609095335007,3.310335047213008e-05,2.2222222222222223,1450,,,,,,,,,
0.0824,0.12199902534484863,2.7184813154480815e-05,2.2988505747126435,1500,,,,,,,,,
0.0832,0.12363650649785995,2.176525096668769e-05,2.375478927203065,1550,,,,,,,,,
0.0819,0.10570383071899414,1.688180213311803e-05,2.4521072796934864,1600,,,,,,,,,
0.0818,0.10628163069486618,1.2567931094658936e-05,2.528735632183908,1650,,,,,,,,,
0.0815,0.11916425079107285,8.853199189471439e-06,2.6053639846743293,1700,,,,,,,,,
0.0809,0.10890865325927734,5.763062080241744e-06,2.681992337164751,1750,,,,,,,,,
0.083,0.11343996971845627,3.318695316084597e-06,2.7586206896551726,1800,,,,,,,,,
0.0798,0.10227974504232407,1.5368492244578259e-06,2.835249042145594,1850,,,,,,,,,
0.0811,0.12091687321662903,4.297341274586475e-07,2.9118773946360155,1900,,,,,,,,,
0.0827,0.12003370374441147,4.936669071942124e-09,2.9885057471264367,1950,,,,,,,,,
,,,2.9977011494252874,1956,0.08716371655464172,119.2036,9.731,2.433,,,,,
,,,2.9977011494252874,1956,,,,,6048.0246,5.179,0.323,1.5627697967333376e+17,0.2905120127405857
